scenario,sea_level_rise_m,total_area_km2,high_risk_area_km2,moderate_risk_area_km2,low_risk_area_km2,high_risk_percentage,moderate_risk_percentage,low_risk_percentage,mean_risk,max_risk,description
Current,0.0,89060.44499999999,8635.1571,4766.652,3646.4993999999997,9.695838708194195,5.3521538096963255,4.094409588903357,0.114781834,0.92020696,Current sea level - todays scenario
Conservative,1.0,89060.44499999999,11863.517399999999,3306.1113,2889.4761,13.32074794820529,3.7122106227966865,3.244398902340989,0.13723166,0.9140801,1m sea level rise - conservative scenario
Moderate,2.0,89060.44499999999,14056.0344,2479.1283,2432.1456,15.782578225383897,2.783646881620679,2.7308931591347876,0.15410604,0.9104047,2m sea level rise - moderate scenario
Severe,3.0,89060.44499999999,15555.6189,2078.6283,2174.4656999999997,17.46636107645768,2.33395229498348,2.4415616831916793,0.1676303,0.90819,3m sea level rise - severe scenario
